346430.026033887  8     28814315.311     42971143  591  0  47
346430.026033887  7     29485491.274     42407755  538  0  47
346430.026033887  9     28882952.096     38198443  366  0  47
346430.026033887  4     28786009.957     37472000   39  0  46
346430.026033887  2     30565239.617     42310884 1331  0  47
346430.026033887 26     32427831.644     43427231 1686  0  35
346430.026033887 24     30684701.473     35654025 1919  0  44
346430.026033887  5     31058176.632     36621639  662  0  42
346435.026133594  8     28847166.012     43143776 1574  0  47
346435.026133594  7     29517745.286     42577254  505  0  47
346435.026133594  9     28912186.615     38352071 1264  0  47
346435.026133594  4     28814691.093     37622715 1829  0  46
346435.026133594  2     30597440.337     42480100 1179  0  47
346435.026133594 24     30711760.620     35796221 1968  0  44
346435.026133594  5     31085904.116     36767345 1238  0  42
346440.026235255  8     28880018.392     43316416 1668  0  47
346440.026235255  7     29549999.375     42746752 1810  0  47
346440.026235255  9     28941421.964     38505709  609  0  47
346440.026235255  4     28843372.759     37773441 1426  0  46
346440.026235255  2     30629640.845     42649317  552  0  46
346440.026235255 26     32493715.611     43773484 1001  0  35
346440.026235255 24     30738820.288     35938416 1975  0  44
346440.026235255  5     31113629.679     36913048  364  0  42
346445.026336917  8     28912871.830     43489063 1899  0  47
346445.026336917  7     29582254.892     42916251 1039  0  47
346445.026336917  9     28970660.641     38659356 1180  0  47
346445.026336917  4     28872057.855     37924177 1293  0  47
346445.026336917  2     30661840.839     42818534 1310  0  46
346445.026336917 26     32526662.289     43946604  573  0  35
346445.026336917 24     30765879.702     36080611  794  0  44
346445.026336917  5     31141354.665     37058747  712  0  42
346450.026436624  8     28945726.694     43661720   64  0  47
346450.026436624  7     29614508.994     43085751 1464  0  47
346450.026436624  9     28999900.101     38813015  226  0  47
346450.026436624  4     28900743.707     38074925  879  0  47
346450.026436624  2     30694042.218     42987754  833  0  46
346450.026436624 26     32559608.667     44119720 2042  0  35
346450.026436624 24     30792938.820     36222807  534  0  44
346450.026436624  5     31169081.054     37204445  493  0  42
346455.026538286  8     28978583.966     43834385   70  0  47
346455.026538286  7     29646764.858     43255253 1360  0  47
346455.026538286  9     29029143.192     38966684 1702  0  47
346455.026538286  4     28929432.833     38225684 1636  0  47
346455.026538286  2     30726244.262     43156976 1101  0  46
346455.026538286 26     32592552.783     44292834  966  0  35
346455.026538286 24     30819996.971     36365004  907  0  44
346455.026538286  5     31196806.710     37350141 1869  0  42
346460.026639948  8     29011443.006     44007058 1177  0  47
346460.026639948  7     29679020.475     43424756 1945  0  47
346460.026639948  9     29058388.134     39120365  833  0  47
346460.026639948  4     28958123.438     38376455  657  0  47
346460.026639948  2     30758445.450     43326200 1151  0  46
346460.026639948 26     32625495.147     44465944  773  0  35
346460.026639948 24     30847054.894     36507202 1396  0  44
346460.026639948  5     31224531.525     37495836 1641  0  42
346465.026739654  8     29044304.211     44179741 2028  0  47
346465.026739654  7     29711276.104     43594262 1900  0  47
346465.026739654  9     29087635.535     39274058  317  0  47
346465.026739654  4     28986816.004     38527238  835  0  47
346465.026739654  2     30790648.710     43495427 1193  0  46
346465.026739654 26     32658434.147     44639052   47  1  35
346465.026739654 24     30874114.138     36649402 1996  0  43
346465.026739654  5     31252255.966     37641531 1237  0  42
346470.026841316  8     29077166.116     44352435  201  0  47
346470.026841316  7     29743532.714     43763771  106  0  47
346470.026841316  9     29116884.360     39427762 1063  0  47
346470.026841316  4     29015512.965     38678033 1392  0  47
346470.026841316  2     30822853.337     43664656 1833  0  46
346470.026841316 26     32691373.821     44812156  904  1  34
346470.026841316 24     30901174.262     36791604 1820  0  43
346470.026841316  5     31279978.624     37787225  621  0  42
346475.026942978  8     29110030.692     44525138  986  0  47
346475.026942978  7     29775789.040     43933281 1686  0  47
346475.026942978  9     29146135.724     39581479  195  0  47
346475.026942978  4     29044210.673     38828841 1861  0  47
346475.026942978  2     30855056.668     43833888 1631  0  46
346475.026942978 26     32724316.450     44985259  194  1  33
346475.026942978 24     30928235.540     36933808 1495  0  43
346475.026942978  5     31307702.678     37932918 1691  0  42
346480.027044640  8     29142896.753     44697852  623  0  47
346480.027044640  7     29808046.637     44102795 1045  0  47
346480.027044640  9     29175388.503     39735208  768  0  47
346480.027044640  4     29072911.182     38979663  714  0  47
